,id,date,likes,content,username,media,inferred company,captions
0,1,2020-12-12 00:47:00,1,"Spend your weekend morning with a Ham, Egg, and Cheese Wrap paired with a sweet Iced French Vanilla! ☀️ Order yours now via dine-in, takeout, and delivery. #TimHortonsPH <hyperlink>",TimHortonsPH,"[Photo(previewUrl='https://pbs.twimg.com/media/Eo8N3JLVoAAlDJT?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Eo8N3JLVoAAlDJT?format=jpg&name=large')]",tim hortons,"Image describes The image features a wooden dining table with a variety of food items and a cup of coffee. There is a sandwich, possibly a breakfast sandwich, placed on the table, along with a cup of coffee. The table also has a bowl and a spoon, suggesting that the meal might include a side dish or dessert. The overall color scheme of the image is predominantly brown, with the wooden table and the sandwich, and a touch of red from the cup of coffee. The scene conveys a sense of a cozy and inviting breakfast setting."
1,2,2018-06-30 10:04:20,2750,Watch rapper <mention> freestyle for over an HOUR <hyperlink> <hyperlink>,IndyMusic,"[Photo(previewUrl='https://pbs.twimg.com/media/Dg7mW-VX0AE_hMn?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Dg7mW-VX0AE_hMn?format=jpg&name=large')]",independent,"Image describes The image features a man wearing a black hoodie, standing in front of a microphone. He appears to be engaged in a conversation or possibly singing into the microphone. The man has spiky hair, which adds to his distinctive appearance. The microphone is positioned close to the man, capturing his voice effectively. The scene is set against a blue background, which provides a contrasting backdrop for the man and the microphone."
2,3,2020-09-29 19:47:28,57,Canadian Armenian community demands ban on military drone tech exports to Turkey <hyperlink> <hyperlink>,CBCCanada,"[Photo(previewUrl='https://pbs.twimg.com/media/EjG2s4aXgAMNM1o?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EjG2s4aXgAMNM1o?format=jpg&name=large')]",cbc,"Image describes The image features a man wearing a green helmet, who is standing in a pile of pipes and barrels. The man appears to be a construction worker, and he is surrounded by various pipes and barrels of different sizes and colors. The scene is set in a dusty environment, which adds to the overall atmosphere of the image."
3,4,2020-10-01 11:40:09,152,"1st in Europe to be devastated by COVID-19, Italy redoubled its efforts, and they're now paying off. My latest. 👇🏼👇🏼
<hyperlink> <hyperlink>",MKWilliamsRome,"[Photo(previewUrl='https://pbs.twimg.com/media/EjPaVniX0AAaWLJ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EjPaVniX0AAaWLJ?format=jpg&name=large')]",williams,"Image describes The image depicts a lively beach scene with a large group of people enjoying their time near the water. There are numerous beach umbrellas scattered across the scene, providing shade for the beachgoers. The umbrellas come in various colors, including blue, green, and orange, adding a vibrant touch to the beach atmosphere.

People are walking along the beach, some closer to the water, while others are further back. A few individuals can be seen swimming in the water, and a couple of boats are visible in the background. The beach is filled with chairs and backpacks, indicating that people have settled in for a day of relaxation and fun.

In addition to the people and umbrellas, there are a few handbags and a couple of bottles scattered throughout the scene, likely belonging to the beachgoers. The overall scene is a lively and colorful representation of a typical day at the beach."
4,5,2018-10-19 14:30:46,41,Congratulations to Pauletha Butts of <mention>! She was presented a Beyond the Call Award for her leadership and planning last week’s Cultural Diversity Night! #excellenceisworththeeffort <hyperlink>,BGISD,"[Photo(previewUrl='https://pbs.twimg.com/media/Dp4L0cSUcAAh9JG?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Dp4L0cSUcAAh9JG?format=jpg&name=large')]",independent,"Image describes The image features a man and a woman standing together, both wearing glasses. The man is wearing a purple shirt, while the woman is wearing a yellow scarf. They are holding a certificate or award, possibly celebrating an achievement.

In the background, there are several other people, some of whom are also wearing glasses. The scene appears to be a gathering or event where people are being recognized for their accomplishments."
5,6,2020-11-15 16:01:08,525,"An 85-year-old primary school in Shanghai has been lifted off the ground — in its entirety — and relocated using new technology dubbed the ""walking machine."" <hyperlink> <hyperlink>",cnni,"[Video(thumbnailUrl='https://pbs.twimg.com/amplify_video_thumb/1322382278794858496/img/eKRa2rXniZ_eOCNB.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1322382278794858496/pl/cFQbZqH2I81CcDHU.m3u8?tag=13', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1322382278794858496/vid/1280x720/Zz0AxPDI2x6hO29a.mp4?tag=13', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1322382278794858496/vid/640x360/ROzx5DbECg35uopU.mp4?tag=13', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1322382278794858496/vid/480x270/5Fx4A4yzGMvLpTUH.mp4?tag=13', bitrate=288000)], duration=65.432, views=572671)]",cnn,"Image describes The image features a large concrete structure, possibly a building or a cement block, with red numbers and letters painted on it. The numbers and letters are located on the top and bottom of the structure, making them visible from different angles. The concrete block is situated in a large, open area, possibly a construction site or a concrete yard. The scene is predominantly gray and white, with the red numbers and letters standing out against the neutral background. and the video's audio describes"
6,7,2019-10-24 10:51:03,0,LASU Celebrates New Dawn Of Unbroken Peace As Law Faculty Presents Book On Fagbohun <hyperlink> <hyperlink>,IndependentNGR,"[Photo(previewUrl='https://pbs.twimg.com/media/EHo1yZyU0AIBW8N?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EHo1yZyU0AIBW8N?format=jpg&name=large')]",independent,"Image describes The image features three people standing on a stage, with one person on the left, another in the center, and the third person on the right. They are all dressed in business attire, with the person on the left wearing a blue shirt, the person in the center wearing a black jacket, and the person on the right wearing a black suit.

The stage is set up with two chairs, one on the left side and another on the right side. There is also a vase placed on the right side of the stage, adding a decorative touch to the scene. The overall color scheme of the image is predominantly black, white, and blue, creating a professional and formal atmosphere."
7,8,2018-07-17 22:04:26,3,"Next week CNCF will be publishing a series of case studies about companies leveraging #cloudnative technologies in a powerful way. <mention> discusses this and more on Episode 52 of #Cloud Unfiltered: <hyperlink>
#opensource #K8s <hyperlink>",CiscoCloud,"[Video(thumbnailUrl='https://pbs.twimg.com/amplify_video_thumb/1019341984543268866/img/ieqbfTc82OlF0hD6.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1019341984543268866/vid/1280x720/eXvYekEllRcp4kXo.mp4?tag=3', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1019341984543268866/vid/640x360/ewrbY6gdakX6772y.mp4?tag=3', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1019341984543268866/pl/ZXnSWKKQIgXwX6Xi.m3u8?tag=3', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1019341984543268866/vid/320x180/xESU2Mmf6u4xGRH-.mp4?tag=3', bitrate=288000)], duration=57.758, views=116)]",cisco,"Image describes The image features a woman with brown hair, wearing a green shirt. She appears to be looking up, possibly at a mirror. The woman is standing in front of a mirror, which is located on the left side of the image. The scene is captured in black and white, giving it a classic and timeless feel. and the video's audio describes I don't want to go through the exact list but I'd be happy to send this list because we're going to be publishing this online next week And we're going to have a list of case studies the exact ROI they saw what was the application? What were their challenges and what was the impact they saw and again the impact can be excited Oh, yes, and the impact can be measured in different ways one purely cost savings Which most people want to say oh an I-T exact would want to know by doing this how much money did you say from an I-T Budget perspective, but so it's not just based on cost savings, but it was also based on Culture and C.I.C.D. truly the DevOps Kind of word how did the dev work with the ops and watered that kind of create from a culture standpoint It has a lot of great learnings So we are going to actually putting together a portal that can showcase all of that and I would say we would have about eight Case studies or end users or customers and says stories"
8,9,2019-03-27 12:18:01,572,"A 95-year-old World War II veteran says he was so saddened by the horrific mosque attacks in Christchurch, New Zealand, that he took four buses to attend a solidarity march against racism in Auckland. <hyperlink> <hyperlink>",cnni,"[Photo(previewUrl='https://pbs.twimg.com/media/D2qiPBTX0AI_13F?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D2qiPBTX0AI_13F?format=jpg&name=large')]",cnn,"Image describes The image features a group of people standing on a street. There are three main individuals in the scene: an older man, a police officer, and another person. The older man is wearing a blue jacket and is being held by the police officer, who is also wearing a blue jacket. The third person is standing close to the group, possibly observing the situation.

The scene also includes a car parked in the background, and a handbag can be seen placed on the ground near the group of people. The police officer is wearing a tie, which is visible as part of their uniform."
9,10,2020-08-01 05:24:03,127,"Nicholas Hoult, Charlize Theron, and Aisha Tyler on stage at a drive-in screening of ""Mad Max: Fury Road"" benefiting the Charlize Theron Africa Outreach Project at The Grove on July 31 in Los Angeles.

More 📸 #CharlizeTheron 👉 <hyperlink>
#MadMax #MadMaxFuryRoad <hyperlink>",GettyVIP,"[Photo(previewUrl='https://pbs.twimg.com/media/EeT6pQZVoAAM2Lj?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EeT6pQZVoAAM2Lj?format=jpg&name=large')]",getty images,"Image describes The image features a man and a woman standing next to each other, both wearing blue face masks. They are positioned in front of a black curtain, which serves as a backdrop for the scene. The man is wearing a black shirt, while the woman is dressed in white pants. The woman's face mask is blue and white, while the man's face mask is blue and yellow. The scene appears to be set in a dark room, with the two individuals standing close to each other."
