username,Average,Median,Mode,Max,Min,Below 100
1MjWilliams2,602.875,388.5,135,1461,135,1370
1MollyWilliams,191.0,191.0,191,191,191,1370
1jamiebell,500.6666666666667,505.5,126,1058,126,1370
1jordanbell,773.375,405.0,109,2290,109,1370
36SLY36,288.0,288.0,288,288,288,1370
3LWTV,256.46153846153845,189.0,111,946,111,1370
55buckets,143.0,143.0,143,143,143,1370
619PRESIDENTIAL,3298.0,1167.0,184,19299,184,1370
AAAClubAlliance,0.4504843918191604,0.0,0,570,0,1370
AAAOklahoma,0.0,0.0,0,0,0,1370
AAASouthJersey,0.0,0.0,0,0,0,1370
AAASouthPenn,0.0,0.0,0,0,0,1370
AAA_MWG,0.0,0.0,0,0,0,1370
AAA_Travel,0.0,0.0,0,0,0,1370
AAAhoosier,0.0,0.0,0,0,0,1370
AAAnews,82.0,82.0,82,82,82,1370
AAQuimsa,24.428571428571427,3.0,0,61,0,1370
AARP,109.96666666666667,62.0,49,1338,41,1370
AARPBlackCom,114.88888888888889,57.0,45,987,41,1370
AARPCA,99.2,55.0,55,194,46,1370
AARPFL,130.5625,86.5,91,812,41,1370
AARPFoundation,130.1,104.0,66,360,47,1370
AARPIntl,729.8611111111111,389.0,41,7110,41,1370
AARPMA,83.8,58.0,53,140,53,1370
AARPMedia,49.0,49.0,49,49,49,1370
AARPOhio,69.0,69.0,69,69,69,1370
AARPTX,51.0,51.0,51,51,51,1370
AARPadvocates,353.91603053435114,67.0,42,7132,41,1370
AARPpolicy,110.2,66.0,45,381,43,1370
AARPresearch,168.25,134.5,51,487,51,1370
AASouthAfrica,1.7461024498886415,1.0,1,170,0,1370
ABAesq,733.6470588235294,133.0,72,17192,68,1370
ADWilliamsUVA,251.47663551401868,200.0,132,811,111,1370
AFRO_THUNDER80,419.5925925925926,227.0,108,2254,108,1370
AIRTEL_KE,406.25210084033614,282.0,109,2659,106,1370
AJ_DonWilliams,182.66666666666666,186.5,234,234,115,1370
ALKCM,318.72972972972974,234.0,190,1254,144,1370
AMCArtisanFilms,19.488175675675677,8.0,4,2848,0,1370
AMCHelps,8.357142857142858,1.0,1,68,0,1370
AMCTheatres,47.28940164254986,28.0,19,9535,0,1370
AMC_Cinemas_SA,0.8918918918918919,0.0,0,6,0,1370
AMCtvUK,9.776543209876543,2.0,1,1794,0,1370
AMD,647.4778761061947,421.0,408,6658,240,1370
AMDGaming,493.7837837837838,342.0,246,3545,240,1370
AMDNews,262.6666666666667,262.0,243,283,243,1370
AMDPC,670.3333333333334,525.0,246,1644,246,1370
